Year,Make,Transmission,Engine Cylinders,Turbocharger,Fuel Type,MPG,City Fuel Consumption,Highway Fuel Consumption
0,37,35,6,0,7,15,3528.225,3998.655
0,37,36,6,0,7,13,2822.58,3528.225
0,37,36,6,0,7,18,3763.44,5174.73
0,37,36,8,0,7,13,2822.58,3528.225
0,37,36,6,0,7,16,3528.225,4469.085
0,37,27,6,0,7,13,2822.58,3293.01
0,37,27,8,0,7,10,2352.15,2587.365
0,37,27,8,0,7,11,2352.15,2822.58
0,37,27,6,0,7,13,2822.58,3528.225
0,37,27,8,0,7,9,2116.935,2352.15
0,37,28,6,0,7,13,2587.365,3528.225
0,37,28,8,0,7,13,2587.365,3528.225
0,37,28,6,0,7,13,2822.58,3528.225
0,37,28,8,0,7,12,2587.365,3293.01
0,37,35,6,0,7,14,3293.01,3528.225
0,37,35,6,0,7,14,3057.795,3528.225
0,37,27,6,0,7,14,3057.795,3528.225
0,37,27,8,0,7,12,2587.365,2822.58
0,37,27,8,0,7,11,2587.365,2822.58
0,37,27,8,0,7,10,2352.15,2587.365
0,37,28,6,0,7,15,3293.01,4233.87
0,37,28,8,0,7,14,2822.58,3763.44
0,37,28,8,0,7,13,2587.365,3528.225
0,37,35,6,0,7,17,3528.225,4469.085
0,37,35,8,0,7,13,2822.58,3528.225
0,37,35,6,0,7,15,3528.225,3998.655
0,37,36,6,0,7,18,3763.44,5174.73
0,37,36,8,0,7,15,3057.795,3998.655
0,37,36,8,0,7,12,2587.365,3528.225
0,37,36,6,0,7,16,3528.225,4704.3
0,37,36,6,0,7,17,3528.225,4469.085
0,37,27,6,0,7,13,2822.58,3057.795
0,37,27,8,0,7,12,2587.365,2822.58
0,37,27,8,0,7,10,2352.15,2587.365
0,37,27,8,0,7,11,2352.15,2822.58
0,37,27,8,0,7,11,2587.365,2822.58
0,37,27,8,0,7,10,2352.15,2352.15
0,37,36,6,0,7,15,3293.01,3998.655
0,37,36,6,0,7,14,3293.01,3528.225
0,37,36,8,0,7,13,2587.365,3528.225
0,37,36,8,0,7,12,2587.365,3293.01
0,37,36,8,0,7,12,2587.365,3528.225
0,37,36,8,0,7,11,2587.365,2822.58
0,37,36,6,0,7,14,3057.795,3998.655
0,37,36,6,0,7,14,3057.795,3528.225
0,37,27,6,0,7,13,2822.58,3528.225
0,37,27,8,0,7,11,2587.365,2587.365
0,37,27,8,0,7,11,2587.365,2822.58
0,37,27,8,0,7,10,2352.15,2587.365
0,37,28,8,0,7,13,2822.58,3528.225
0,37,28,8,0,7,12,2587.365,3293.01
0,37,35,6,0,7,14,3293.01,3528.225
0,37,36,8,0,7,15,3057.795,3998.655
0,37,36,8,0,7,13,2587.365,3528.225
0,37,36,8,0,7,11,2587.365,2822.58
0,37,36,6,0,7,14,3057.795,3763.44
0,37,36,6,0,7,14,3293.01,3528.225
0,37,27,6,0,7,13,2822.58,3057.795
